mark,model,year,region,total,arithmeticMean,interQuartileMean,percentiles,prices,classifieds
Subaru,XV,2011,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Subaru,XV,2012,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Subaru,XV,2013,Kiev,3,15466.3333333333,15599.0,"{'1.0': 14913.98, '5.0': 14969.9, '25.0': 15249.5, '50.0': 15599, '75.0': 15749.5, '95.0': 15869.9, '99.0': 15893.98}","[15599, 14900, 15900]","[25293084, 24638381, 23641559]"
Subaru,XV,2014,Kiev,4,13899.75,13900.0,"{'1.0': 13023.029999999999, '5.0': 13119.15, '25.0': 13599.75, '50.0': 13900, '75.0': 14200, '95.0': 14680, '99.0': 14776}","[13800, 12999, 14800, 14000]","[25110559, 25349746, 25377794, 25384650]"
Subaru,XV,2015,Kiev,2,13175.0,NULL,"{'1.0': 12366.5, '5.0': 12432.5, '25.0': 12762.5, '50.0': 13175, '75.0': 13587.5, '95.0': 13917.5, '99.0': 13983.5}","[12350, 14000]","[25259169, 25432045]"
Suzuki,Grand Vitara,2010,Kiev,2,8150.0,NULL,"{'1.0': 3593, '5.0': 3965, '25.0': 5825, '50.0': 8150, '75.0': 10475, '95.0': 12335, '99.0': 12707}","[12800, 3500]","[25417630, 25417843]"
Suzuki,Grand Vitara,2011,Kiev,1,12950.0,12950.0,"{'1.0': 12950, '5.0': 12950, '25.0': 12950, '50.0': 12950, '75.0': 12950, '95.0': 12950, '99.0': 12950}",[12950],[23710698]
Suzuki,Grand Vitara,2012,Kiev,1,11850.0,11850.0,"{'1.0': 11850, '5.0': 11850, '25.0': 11850, '50.0': 11850, '75.0': 11850, '95.0': 11850, '99.0': 11850}",[11850],[25375712]
Suzuki,Grand Vitara,2013,Kiev,2,15050.0,NULL,"{'1.0': 14511, '5.0': 14555, '25.0': 14775, '50.0': 15050, '75.0': 15325, '95.0': 15545, '99.0': 15589}","[14500, 15600]","[25203815, 25250516]"
Suzuki,Grand Vitara,2014,Kiev,4,14972.25,14649.5,"{'1.0': 13999.3, '5.0': 14036.5, '25.0': 14222.5, '50.0': 14649.5, '75.0': 15399.25, '95.0': 16359.85, '99.0': 16551.97}","[14999, 16600, 14300, 13990]","[25093330, 18890936, 25102197, 24911371]"
Suzuki,Grand Vitara,2015,Kiev,2,17450.0,NULL,"{'1.0': 16911, '5.0': 16955, '25.0': 17175, '50.0': 17450, '75.0': 17725, '95.0': 17945, '99.0': 17989}","[16900, 18000]","[25323805, 25326821]"
Volkswagen,Tiguan,2010,Kiev,11,13707.5454545455,13705.5,"{'1.0': 11660, '5.0': 11900, '25.0': 13000, '50.0': 14000, '75.0': 14600, '95.0': 15025, '99.0': 15165}","[13000, 14000, 14400, 14700, 13000, 14850, 14500, 15200, 12200, 11600, 13333]","[25057323, 24304044, 23493791, 25363338, 25273400, 19460815, 21065935, 25283636, 25081157, 24448406, 25253342]"
Volkswagen,Tiguan,2011,Kiev,10,14194.9,13875.0,"{'1.0': 12062.09, '5.0': 12314.45, '25.0': 12900, '50.0': 13850, '75.0': 15275, '95.0': 16797.5, '99.0': 17319.5}","[13200, 16000, 14600, 13800, 15500, 12700, 17450, 11999, 12800, 13900]","[25391878, 24958284, 24995049, 25204920, 25144530, 22404461, 25269311, 25297633, 25225195, 25266574]"
Volkswagen,Tiguan,2012,Kiev,31,14620.8387096774,13913.2,"{'1.0': 11290, '5.0': 11749.5, '25.0': 12949.5, '50.0': 13900, '75.0': 14950, '95.0': 21225, '99.0': 21570}","[13300, 11200, 21600, 14000, 14700, 18500, 11999, 17000, 17800, 12500, 13500, 12999, 15000, 14900, 14500, 12299, 13600, 13900, 13800, 21500, 20950, 14000, 14400, 15000, 13100, 11500, 13499, 12800, 12000, 12900, 14500]","[25408863, 25413439, 25314859, 25332626, 24724857, 25066355, 24917122, 25413609, 24741103, 25219481, 25280194, 25139328, 25162079, 25354470, 25406609, 25132999, 25420947, 25087529, 25382906, 25383609, 25345480, 25389319, 24933204, 25071707, 24863421, 25348789, 25231768, 25409652, 25177699, 25405809, 25378436]"
Volkswagen,Tiguan,2013,Kiev,19,16331.5263157895,16183.2222222222,"{'1.0': 13008, '5.0': 13440, '25.0': 14800, '50.0': 16500, '75.0': 17800, '95.0': 20050, '99.0': 20410}","[16500, 15100, 20000, 13500, 14950, 12900, 14700, 20500, 14200, 15500, 13500, 17000, 14900, 17700, 17900, 18500, 16999, 18950, 17000]","[24215766, 24796146, 23533697, 23811398, 24974958, 25422113, 25436700, 25191899, 25331275, 25314578, 24404146, 25379964, 24848508, 25256773, 23943020, 24978116, 25413363, 25256108, 25353474]"
Volkswagen,Tiguan,2014,Kiev,24,18235.25,18008.0833333333,"{'1.0': 13646, '5.0': 13815, '25.0': 14462.5, '50.0': 17950, '75.0': 21624.75, '95.0': 23285, '99.0': 24455}","[18000, 14500, 13900, 14350, 22300, 21499, 18999, 21999, 13600, 23200, 15600, 22500, 19999, 21500, 13900, 17900, 14500, 13900, 24800, 19500, 13800, 16500, 17600, 23300]","[25148394, 25227392, 25247750, 25323924, 25323242, 24728179, 24449957, 24073670, 25194387, 25354756, 24764741, 25036288, 23919771, 25145957, 25332565, 25114297, 24588272, 25260643, 25326373, 24196265, 25413487, 20983649, 25362615, 25128493]"
Volkswagen,Tiguan,2015,Kiev,13,16300.3846153846,15792.8571428571,"{'1.0': 12060, '5.0': 12300, '25.0': 13800, '50.0': 15550, '75.0': 18500, '95.0': 21421.999999999996, '99.0': 23128.399999999994}","[14000, 16800, 13800, 12000, 19700, 14600, 23555, 13600, 20000, 12500, 15550, 18500, 17300]","[25394316, 25368350, 25311823, 25338424, 25195021, 24761853, 23328436, 25170911, 25371854, 25103940, 25312717, 25382494, 25433693]"
SsangYong,Korando,2010,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
SsangYong,Korando,2011,Kiev,4,10587.5,10500.0,"{'1.0': 10157.5, '5.0': 10187.5, '25.0': 10337.5, '50.0': 10500, '75.0': 10750, '95.0': 11110, '99.0': 11181.999999999998}","[11200, 10150, 10400, 10600]","[25210202, 25385025, 23823152, 25303236]"
SsangYong,Korando,2012,Kiev,5,10299.8,10174.75,"{'1.0': 10000, '5.0': 10000, '25.0': 10000, '50.0': 10200, '75.0': 10499, '95.0': 10739.8, '99.0': 10787.960000000001}","[10499, 10000, 10800, 10200, 10000]","[25073218, 25143348, 25266789, 25226320, 25195787]"
SsangYong,Korando,2013,Kiev,5,10499.8,11733.0,"{'1.0': 5067.96, '5.0': 6139.8, '25.0': 11499, '50.0': 11800, '75.0': 11900, '95.0': 12380, '99.0': 12476}","[12500, 4800, 11499, 11800, 11900]","[25348538, 25345159, 25303278, 25306154, 25436597]"
SsangYong,Korando,2014,Kiev,3,12587.7706666667,12064.312,"{'1.0': 9747.28624, '5.0': 9936.431199999999, '25.0': 10882.155999999999, '50.0': 12064.312, '75.0': 14031.655999999999, '95.0': 15605.5312, '99.0': 15920.30624}","[12064.312, 9700, 15999]","[24723887, 25354327, 22020567]"
SsangYong,Korando,2015,Kiev,1,10500.0,10500.0,"{'1.0': 10500, '5.0': 10500, '25.0': 10500, '50.0': 10500, '75.0': 10500, '95.0': 10500, '99.0': 10500}",[10500],[25091961]
