mark,model,year,region,total,arithmeticMean,interQuartileMean,percentiles,prices,classifieds
Honda,CR-V,2014,Kiev,15,16249.6666666667,15912.8571428571,"{'1.0': 11456, '5.0': 11680, '25.0': 14750, '50.0': 15890, '75.0': 17500, '95.0': 21416.499999999996, '99.0': 23127.3}","[20500, 16900, 11800, 15200, 18100, 11400, 15500, 14200, 14300, 15500, 23555, 18500, 15890, 16500, 15900]","[24935689, 25361450, 25397731, 25429252, 25422834, 25110789, 24561849, 25415236, 25370054, 25035935, 25290640, 20273854, 25334816, 25411229, 25430934]"
Honda,CR-V,2015,Kiev,21,18699.9047619048,18490.8181818182,"{'1.0': 14320, '5.0': 14800, '25.0': 16000, '50.0': 18999, '75.0': 19900, '95.0': 24999, '99.0': 24999.8}","[18999, 17900, 15800, 14800, 16300, 25000, 19900, 19000, 24999, 19900, 18300, 17900, 14200, 15900, 15300, 19900, 20800, 16000, 21500, 21000, 19300]","[25006064, 25302951, 24463885, 25268367, 24241299, 22762385, 25418936, 24971119, 25177131, 24860508, 25162778, 24511003, 25398049, 25227666, 25312529, 25295220, 25068074, 25124806, 25413798, 25429939, 25319849]"
Hyundai,IX35,2010,Kiev,8,14737.375,14979.8,"{'1.0': 13535, '5.0': 13675, '25.0': 14675, '50.0': 14999.5, '75.0': 15000, '95.0': 15325, '99.0': 15465}","[15000, 13500, 14000, 15000, 14999, 15500, 15000, 14900]","[25377343, 25357961, 24085210, 22469860, 25124161, 24575555, 25360227, 25226552]"
Hyundai,IX35,2011,Kiev,9,14000.0,13720.0,"{'1.0': 12332, '5.0': 12460, '25.0': 13000, '50.0': 13500, '75.0': 14800, '95.0': 16460, '99.0': 17292}","[12300, 14900, 13500, 14800, 13000, 13800, 17500, 12700, 13500]","[23917932, 25212223, 25321158, 25252913, 24529549, 25357737, 24763659, 23985122, 25427174]"
Hyundai,IX35,2012,Kiev,15,18807.2666666667,15305.5714285714,"{'1.0': 13514, '5.0': 13570, '25.0': 14250, '50.0': 14900, '75.0': 16525, '95.0': 32725.999999999945, '99.0': 62081.19999999997}","[14500, 69420, 13500, 14900, 13600, 14840, 15500, 16900, 14000, 16500, 14000, 16399, 17000, 14500, 16550]","[25225833, 25436162, 24051158, 25066136, 24640673, 25342919, 25329229, 24887701, 24302631, 25307953, 24891295, 25339862, 21133876, 25068344, 25221880]"
Hyundai,IX35,2013,Kiev,7,15482.8571428571,15070.0,"{'1.0': 13575.6, '5.0': 13878, '25.0': 14760, '50.0': 15200, '75.0': 16180, '95.0': 17500, '99.0': 17740}","[16800, 13500, 15560, 15200, 17800, 14760, 14760]","[25265623, 24808301, 25342957, 25270711, 25394302, 24641590, 24860555]"
Hyundai,IX35,2014,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Hyundai,IX35,2015,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Hyundai,Tucson,2010,Kiev,2,11475.0,NULL,"{'1.0': 9980.5, '5.0': 10102.5, '25.0': 10712.5, '50.0': 11475, '75.0': 12237.5, '95.0': 12847.5, '99.0': 12969.5}","[13000, 9950]","[17354024, 25199804]"
Hyundai,Tucson,2011,Kiev,9,12366.6666666667,11591.6666666667,"{'1.0': 10510, '5.0': 10750, '25.0': 11200, '50.0': 11800, '75.0': 12200, '95.0': 15660, '99.0': 15692}","[11200, 11900, 15700, 10450, 11200, 11800, 15600, 11250, 12200]","[21420571, 25362816, 25432760, 25430155, 24764009, 24457007, 25264512, 25237817, 25357478]"
Hyundai,Tucson,2012,Kiev,4,13435.0,13200.0,"{'1.0': 12509, '5.0': 12545, '25.0': 12725, '50.0': 13200, '75.0': 13910, '95.0': 14654, '99.0': 14802.8}","[14840, 12500, 12800, 13600]","[25122533, 25165691, 25372504, 25342882]"
Hyundai,Tucson,2013,Kiev,6,12920.0,12450.0,"{'1.0': 10565, '5.0': 10825, '25.0': 11825, '50.0': 12450, '75.0': 14320, '95.0': 15360, '99.0': 15520.000000000002}","[10500, 13000, 11900, 11800, 14760, 15560]","[25249656, 25424162, 25077612, 25077561, 25342824, 25140533]"
Hyundai,Tucson,2014,Kiev,1,16800.0,16800.0,"{'1.0': 16800, '5.0': 16800, '25.0': 16800, '50.0': 16800, '75.0': 16800, '95.0': 16800, '99.0': 16800}",[16800],[25237993]
Hyundai,Tucson,2015,Kiev,8,15812.375,16350.0,"{'1.0': 11231, '5.0': 12155, '25.0': 14825, '50.0': 16500, '75.0': 17500, '95.0': 17929.35, '99.0': 17985.07}","[17400, 17800, 15000, 14300, 17999, 11000, 16500, 16500]","[25251781, 25341953, 25421586, 25299021, 25266739, 25432887, 25238037, 25169934]"
Hyundai,Santa FE,2010,Kiev,6,14659.275,14850.0,"{'1.0': 13357.5, '5.0': 13387.5, '25.0': 13750, '50.0': 14850, '75.0': 15424.25, '95.0': 15804.7375, '99.0': 15886.2675}","[15200, 15906.65, 15499, 13350, 13500, 14500]","[25338688, 24871603, 24067348, 19493050, 24854455, 25338729]"
Hyundai,Santa FE,2011,Kiev,17,14531.1176470588,14277.9,"{'1.0': 12332, '5.0': 12460, '25.0': 13000, '50.0': 14760, '75.0': 16199, '95.0': 16900, '99.0': 16900}","[16199, 14900, 13500, 13500, 14760, 14000, 12500, 16900, 16900, 14760, 12300, 12950, 13000, 16400, 13000, 16300, 15160]","[24952924, 25019086, 25425461, 25429701, 25228373, 25224584, 25371088, 23201825, 24139654, 25166015, 25324386, 24902489, 25328006, 25287710, 25048917, 25306612, 25165939]"
Hyundai,Santa FE,2012,Kiev,17,16835.7058823529,16811.8888888889,"{'1.0': 13580, '5.0': 13900, '25.0': 15200, '50.0': 16800, '75.0': 17807, '95.0': 20900, '99.0': 21540}","[17500, 15200, 21700, 16800, 17200, 14500, 16200, 17900, 16700, 17807, 13500, 14700, 17900, 16800, 14000, 20700, 17100]","[24669522, 25328422, 25290088, 25364428, 25369707, 25421171, 25409292, 24332090, 25382628, 25399548, 25383304, 24303266, 25215017, 25385450, 24931206, 25147175, 25430109]"
Hyundai,Santa FE,2013,Kiev,30,19687.5,19588.5,"{'1.0': 14557.289999999999, '5.0': 14835, '25.0': 16624.25, '50.0': 19750, '75.0': 22375, '95.0': 25224.999999999996, '99.0': 26680.29}","[20000, 21950, 14499, 15990, 25900, 22700, 22900, 17900, 20000, 16400, 18900, 15999, 24400, 22000, 21500, 15000, 17000, 17990, 14700, 23900, 21800, 17900, 26999, 19500, 17499, 23000, 22500, 15000, 20300, 16499]","[25195512, 25264821, 25249517, 24888006, 25327701, 24908726, 25250925, 23657283, 24984735, 25270346, 25297315, 25110662, 24056319, 25300147, 25416672, 25078731, 25011081, 25198942, 25421589, 25375302, 25379373, 25095934, 25193472, 25328611, 25428443, 25122977, 24894677, 25096709, 24680894, 25376956]"
Hyundai,Santa FE,2014,Kiev,20,21364.9,22100.0,"{'1.0': 13855, '5.0': 17275, '25.0': 19550, '50.0': 22200, '75.0': 23550, '95.0': 24515, '99.0': 24743}","[24500, 23500, 23200, 13000, 22000, 21500, 22400, 18000, 22000, 23700, 18199, 22800, 23800, 19800, 24800, 23999, 22500, 21300, 18800, 17500]","[25065852, 25253411, 25120784, 25275299, 24298347, 23056707, 25340236, 25078707, 25419161, 24908697, 25092656, 25224728, 24848284, 25312498, 25323203, 25426775, 25306461, 24043662, 24592863, 25305064]"
Hyundai,Santa FE,2015,Kiev,23,20153.8695652174,19904.4545454545,"{'1.0': 15000, '5.0': 15030, '25.0': 17150, '50.0': 18999, '75.0': 23650, '95.0': 25449, '99.0': 26436}","[23500, 18999, 21200, 18950, 25500, 23500, 24700, 26700, 16800, 15300, 15000, 18700, 23800, 21900, 24990, 18000, 15300, 24500, 17300, 19000, 17900, 15000, 17000]","[25248298, 25266492, 25218667, 24904296, 25171883, 25373341, 25268101, 25133402, 25394794, 24642239, 24971105, 25400917, 25045540, 23978532, 25064862, 21318694, 25332688, 25063225, 24327192, 25238175, 22012893, 25078664, 25007750]"
Kia,Sportage,2010,Kiev,2,13700.0,NULL,"{'1.0': 13602, '5.0': 13610, '25.0': 13650, '50.0': 13700, '75.0': 13750, '95.0': 13790, '99.0': 13798}","[13800, 13600]","[24177477, 25326434]"
Kia,Sportage,2011,Kiev,6,14133.0,14100.0,"{'1.0': 13325, '5.0': 13425, '25.0': 13850, '50.0': 14100, '75.0': 14424.25, '95.0': 14874, '99.0': 14974}","[14999, 13800, 14499, 14000, 14200, 13300]","[25340168, 25260424, 25121282, 25200605, 25227108, 24902425]"
Kia,Sportage,2012,Kiev,9,14799.8888888889,14799.8,"{'1.0': 13170, '5.0': 13250, '25.0': 13699, '50.0': 14900, '75.0': 15800, '95.0': 16400, '99.0': 16640}","[15950, 16700, 15800, 14700, 13699, 14900, 14900, 13150, 13400]","[25401768, 25410605, 25392177, 25147934, 25405295, 25247125, 24484233, 25342579, 25289302]"
Kia,Sportage,2013,Kiev,11,15636.3636363636,15720.0,"{'1.0': 12680, '5.0': 13000, '25.0': 14150, '50.0': 15800, '75.0': 17450, '95.0': 18100, '99.0': 18180}","[15800, 14900, 14800, 18000, 18200, 17200, 13400, 15900, 17700, 12600, 13500]","[24620135, 25117872, 25331616, 25418698, 25411085, 24750346, 25392227, 25362163, 25431178, 24555709, 24851672]"
Kia,Sportage,2014,Kiev,6,14983.3333333333,15000.0,"{'1.0': 13455, '5.0': 13675, '25.0': 14575, '50.0': 15000, '75.0': 15800, '95.0': 16000, '99.0': 16000}","[13400, 14500, 16000, 15200, 16000, 14800]","[25369738, 25332768, 25282218, 25380225, 25192188, 25402818]"
Kia,Sportage,2015,Kiev,11,15850.0,15060.0,"{'1.0': 13045, '5.0': 13225, '25.0': 13750, '50.0': 15200, '75.0': 16350, '95.0': 21300, '99.0': 25060.000000000004}","[16600, 14400, 13500, 16500, 26000, 15500, 16200, 13000, 14000, 13450, 15200]","[24734511, 25259394, 24863845, 25175188, 25430515, 25332750, 25194580, 24555797, 25394109, 25270651, 24354167]"
Kia,Sorento,2010,Kiev,9,14643.3333333333,14880.0,"{'1.0': 12012, '5.0': 12460, '25.0': 14000, '50.0': 14700, '75.0': 15800, '95.0': 16116, '99.0': 16183.199999999999}","[15800, 13300, 14000, 15990, 14700, 16200, 14600, 11900, 15300]","[24914845, 25264569, 25283865, 25261363, 25294918, 23725755, 25268783, 25375546, 25344951]"
Kia,Sorento,2011,Kiev,13,14625.3846153846,14954.2857142857,"{'1.0': 10348, '5.0': 10540, '25.0': 13500, '50.0': 14900, '75.0': 16900, '95.0': 17670, '99.0': 17934}","[18000, 14900, 13700, 14900, 17450, 13980, 10700, 16800, 16900, 11800, 10300, 13500, 17200]","[25174623, 25082172, 24885109, 24180546, 25321952, 25404848, 25257465, 25354292, 25198966, 25316269, 25323172, 25213718, 20082542]"
Kia,Sorento,2012,Kiev,9,14459.7777777778,14327.8,"{'1.0': 11704, '5.0': 12120, '25.0': 13499, '50.0': 13990, '75.0': 15800, '95.0': 16999.6, '99.0': 16999.92}","[17000, 13990, 15800, 13499, 16999, 14850, 11600, 12900, 13500]","[24870332, 25335418, 21524259, 24860777, 25088773, 25331690, 25131735, 25388856, 25423338]"
Kia,Sorento,2013,Kiev,14,17671.3571428571,17950.0,"{'1.0': 12208, '5.0': 13040, '25.0': 15700, '50.0': 18350, '75.0': 18975, '95.0': 22045, '99.0': 22409}","[15500, 19000, 18700, 21800, 18900, 18800, 15499, 19800, 17000, 12000, 22500, 18000, 16300, 13600]","[25129972, 25130465, 21177049, 25391023, 25006123, 24964915, 25359297, 25365649, 23633349, 25142306, 25085656, 25305193, 24460785, 25423755]"
Kia,Sorento,2014,Kiev,18,18413.7777777778,17699.875,"{'1.0': 13534, '5.0': 13670, '25.0': 15175, '50.0': 17200, '75.0': 22199.25, '95.0': 24139.999999999996, '99.0': 25227.999999999996}","[17500, 14500, 16900, 16200, 13500, 22950, 16000, 18799, 13700, 18500, 25500, 14900, 22599, 21000, 23900, 14400, 16700, 23900]","[24231551, 25279257, 24518057, 25383471, 25384785, 24644573, 25142413, 23380050, 25330322, 24670882, 24971310, 25218352, 25109774, 25423737, 25373544, 25199910, 24849256, 25352225]"
Kia,Sorento,2015,Kiev,17,22300.0,21800.0,"{'1.0': 15048, '5.0': 15240, '25.0': 19500, '50.0': 20600, '75.0': 26300, '95.0': 29580, '99.0': 29836}","[27000, 19200, 19500, 18100, 20600, 23000, 29500, 28900, 26300, 29900, 25900, 19900, 22000, 19500, 15300, 15000, 19500]","[24249152, 25202684, 25251267, 25394026, 24126489, 22686163, 24993996, 25331720, 25306559, 25414492, 25286208, 24107951, 24550264, 25361693, 25430865, 25114007, 25363609]"
Mazda,CX-5,2010,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Mazda,CX-5,2011,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Mazda,CX-5,2012,Kiev,4,15787.5,15925.0,"{'1.0': 12881, '5.0': 13205, '25.0': 14825, '50.0': 15925, '75.0': 16887.5, '95.0': 18177.5, '99.0': 18435.5}","[16350, 18500, 15500, 12800]","[25067906, 24999841, 25246964, 25323012]"
