name,value
Киевская,10
Винницкая,1
Волынская,18
Днепропетровская,11
Донецкая,13
Житомирская,2
Закарпатская,22
Запорожская,14
Ивано-Франковская,15
Кировоградская,16
Луганская,17
Львовская,5
Николаевская,19
Одесская,12
Полтавская,20
Республика Крым,21
Ровенская,9
Сумская,8
Тернопольская,3
Харьковская,7
Херсонская,23
Хмельницкая,4
Черкасская,24
Черниговская,6
Черновицкая,25
