name,value
Седан,3
Внедорожник / Кроссовер,5
Минивэн,8
Хэтчбек,4
Универсал,2
Купе,6
"Легковой фургон (до 1,5 т)",254
Кабриолет,7
Пикап,9
Лифтбек,307
Лимузин,252
Другой,28
Родстер,315
